ZipCode,RegionID,ZipCode,City,State,Metro,CountyName,SizeRank
33025,72363,33025,Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,82
75067,90665,75067,Lewisville,TX,Dallas-Fort Worth-Arlington,Denton County,83
90034,96015,90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,84
33139,72442,33139,Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,85
44107,77007,44107,Lakewood,OH,Cleveland-Elyria,Cuyahoga County,86
48197,79054,48197,Ypsilanti,MI,Ann Arbor,Washtenaw County,87
02169,58669,02169,Quincy,MA,Boston-Cambridge-Newton,Norfolk County,88
11377,62088,11377,New York,NY,New York-Newark-Jersey City,Queens County,89
66062,87074,66062,Olathe,KS,Kansas City,Johnson County,90
34787,73221,34787,Winter Garden,FL,Orlando-Kissimmee-Sanford,Orange County,91
44035,76953,44035,Elyria,OH,Cleveland-Elyria,Lorain County,92
95630,98325,95630,Folsom,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,93
90044,96025,90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,94
90805,96239,90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,95
80134,93263,80134,Parker,CO,Denver-Aurora-Lakewood,Douglas County,96
90650,96193,90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,98
85710,95048,85710,Tucson,AZ,Tucson,Pima County,99
92683,96990,92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange County,100
10314,61790,10314,New York,NY,New York-Newark-Jersey City,Richmond County,101
11211,62022,11211,New York,NY,New York-Newark-Jersey City,Kings County,102
11234,62044,11234,New York,NY,New York-Newark-Jersey City,Kings County,103
85281,94870,85281,Tempe,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,104
11355,62067,11355,New York,NY,New York-Newark-Jersey City,Queens County,105
30281,71005,30281,Stockbridge,GA,Atlanta-Sandy Springs-Roswell,Henry County,106
85225,94820,85225,Chandler,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,107
11215,62026,11215,New York,NY,New York-Newark-Jersey City,Kings County,108
37075,74156,37075,Hendersonville,TN,Nashville-Davidson--Murfreesboro--Franklin,Sumner County,109
94558,97764,94558,Napa,CA,Napa,Napa County,110
90026,96007,90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,111
87114,95309,87114,Albuquerque,NM,Albuquerque,Bernalillo County,112
32210,71864,32210,Jacksonville,FL,Jacksonville,Duval County,113
43081,76511,43081,Westerville,OH,Columbus,Franklin County,114
91910,96545,91910,Chula Vista,CA,San Diego-Carlsbad,San Diego County,115
06010,60081,06010,Bristol,CT,Hartford-West Hartford-East Hartford,Hartford County,116
17603,65133,17603,Lancaster,PA,Lancaster,Lancaster County,117
78240,92336,78240,San Antonio,TX,San Antonio-New Braunfels,Bexar County,118
89108,95804,89108,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,119
93722,97431,93722,Fresno,CA,Fresno,Fresno County,120
87111,95306,87111,Albuquerque,NM,Albuquerque,Bernalillo County,121
85308,94890,85308,Glendale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,122
79938,93146,79938,El Paso,TX,El Paso,El Paso County,123
76063,91221,76063,Mansfield,TX,Dallas-Fort Worth-Arlington,Tarrant County,124
77459,91950,77459,Missouri City,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,125
48180,79040,48180,Taylor,MI,Detroit-Warren-Dearborn,Wayne County,126
94533,97740,94533,Fairfield,CA,Vallejo-Fairfield,Solano County,127
33908,72901,33908,Fort Myers,FL,Cape Coral-Fort Myers,Lee County,128
91709,96467,91709,Chino Hills,CA,Riverside-San Bernardino-Ontario,San Bernardino County,130
75056,90657,75056,The Colony,TX,Dallas-Fort Worth-Arlington,Denton County,131
76028,91198,76028,Burleson,TX,Dallas-Fort Worth-Arlington,Johnson County,132
78577,92520,78577,Pharr,TX,McAllen-Edinburg-Mission,Hidalgo County,133
44060,76971,44060,Mentor,OH,Cleveland-Elyria,Lake County,134
30040,70825,30040,Cumming,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,135
33024,72362,33024,Pembroke Pines,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,137
98012,99500,98012,Bothell,WA,Seattle-Tacoma-Bellevue,Snohomish County,138
95608,98304,95608,Carmichael,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,139
14850,63776,14850,Ithaca,NY,Ithaca,Tompkins County,140
85364,94940,85364,Yuma,AZ,Yuma,Yuma County,141
43123,76534,43123,Grove City,OH,Columbus,Franklin County,142
15601,64180,15601,Greensburg,PA,Pittsburgh,Westmoreland County,143
33647,72737,33647,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,144
27587,69431,27587,Wake Forest,NC,Raleigh,Wake County,145
80013,93203,80013,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,146
11385,62093,11385,New York,NY,New York-Newark-Jersey City,Queens County,147
90066,96047,90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,148
92677,96987,92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange County,149
20906,66705,20906,Silver Spring,MD,Washington-Arlington-Alexandria,Montgomery County,150
44256,77094,44256,Medina,OH,Cleveland-Elyria,Medina County,151
77845,92125,77845,College Station,TX,College Station-Bryan,Brazos County,152
47906,78823,47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe County,153
02148,58660,02148,Malden,MA,Boston-Cambridge-Newton,Middlesex County,154
65807,87019,65807,Springfield,MO,Springfield,Greene County,155
78641,92576,78641,Leander,TX,Austin-Round Rock,Williamson County,156
45011,77400,45011,Hamilton,OH,Cincinnati,Butler County,157
11373,62085,11373,New York,NY,New York-Newark-Jersey City,Queens County,158
92336,96817,92336,Fontana,CA,Riverside-San Bernardino-Ontario,San Bernardino County,159
99301,100179,99301,Pasco,WA,Kennewick-Richland,Franklin County,160
95823,98432,95823,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,161
07302,60639,07302,Jersey City,NJ,New York-Newark-Jersey City,Hudson County,162
27410,69340,27410,Greensboro,NC,Greensboro-High Point,Guilford County,163
30188,70953,30188,Woodstock,GA,Atlanta-Sandy Springs-Roswell,Cherokee County,164
46307,78085,46307,Crown Point,IN,Chicago-Naperville-Elgin,Lake County,165
92345,96825,92345,Hesperia,CA,Riverside-San Bernardino-Ontario,San Bernardino County,166
65203,86717,65203,Columbia,MO,Columbia,Boone County,167
77450,91941,77450,Cinco Ranch,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,168
89121,95817,89121,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,169
27406,69336,27406,Greensboro,NC,Greensboro-High Point,Guilford County,170
92126,96667,92126,San Diego,CA,San Diego-Carlsbad,San Diego County,171
98103,99563,98103,Seattle,WA,Seattle-Tacoma-Bellevue,King County,172
27610,69450,27610,Raleigh,NC,Raleigh,Wake County,173
92804,97023,92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,174
08753,61169,08753,Toms River,NJ,New York-Newark-Jersey City,Ocean County,175
75228,90780,75228,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,176
60634,84635,60634,Chicago,IL,Chicago-Naperville-Elgin,Cook County,177
92101,96643,92101,San Diego,CA,San Diego-Carlsbad,San Diego County,178
20011,66135,20011,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,179
43130,76539,43130,Lancaster,OH,Columbus,Fairfield County,180
28078,69699,28078,Huntersville,NC,Charlotte-Concord-Gastonia,Mecklenburg County,181
92503,96882,92503,Riverside,CA,Riverside-San Bernardino-Ontario,Riverside County,182
76244,91325,76244,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,183
29732,70698,29732,Rock Hill,SC,Charlotte-Concord-Gastonia,York County,184
91911,96546,91911,Chula Vista,CA,San Diego-Carlsbad,San Diego County,185
28314,69849,28314,Fayetteville,NC,Fayetteville,Cumberland County,186
95747,98411,95747,Roseville,CA,Sacramento--Roseville--Arden-Arcade,Placer County,187
34135,73014,34135,Bonita Springs,FL,Cape Coral-Fort Myers,Lee County,188
90019,96000,90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,189
75035,90638,75035,Frisco,TX,Dallas-Fort Worth-Arlington,Collin County,190
60016,84285,60016,Des Plaines,IL,Chicago-Naperville-Elgin,Cook County,191
11233,62043,11233,New York,NY,New York-Newark-Jersey City,Kings County,192
87120,95314,87120,Albuquerque,NM,Albuquerque,Bernalillo County,193
77095,91744,77095,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,194
33009,72347,33009,Hallandale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,195
22191,67180,22191,Woodbridge,VA,Washington-Arlington-Alexandria,Prince William County,196
40475,75696,40475,Richmond,KY,Richmond-Berea,Madison County,197
23320,67655,23320,Chesapeake,VA,Virginia Beach-Norfolk-Newport News,Chesapeake City,198
32218,71871,32218,Jacksonville,FL,Jacksonville,Duval County,199
21740,67010,21740,Hagerstown,MD,Hagerstown-Martinsburg,Washington County,200
94536,97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,201
07002,60518,07002,Bayonne,NJ,New York-Newark-Jersey City,Hudson County,202
34711,73183,34711,Clermont,FL,Orlando-Kissimmee-Sanford,Lake County,203
43230,76597,43230,Gahanna,OH,Columbus,Franklin County,204
30052,70835,30052,Loganville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,205
90280,96125,90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,206
30041,70826,30041,Cumming,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,207
92592,96934,92592,Temecula,CA,Riverside-San Bernardino-Ontario,Riverside County,208
89117,95813,89117,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,209
30080,70859,30080,Smyrna,GA,Atlanta-Sandy Springs-Roswell,Cobb County,210
46227,78042,46227,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,211
19111,65779,19111,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,212
74012,90226,74012,Broken Arrow,OK,Tulsa,Tulsa County,213
21117,66785,21117,Owings Mills,MD,Baltimore-Columbia-Towson,Baltimore County,215
90201,96083,90201,Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,216
32256,71902,32256,Jacksonville,FL,Jacksonville,Duval County,217
11236,62046,11236,New York,NY,New York-Newark-Jersey City,Kings County,218
38401,74815,38401,Columbia,TN,Nashville-Davidson--Murfreesboro--Franklin,Maury County,219
91730,96477,91730,Rancho Cucamonga,CA,Riverside-San Bernardino-Ontario,San Bernardino County,220
89052,95785,89052,Henderson,NV,Las Vegas-Henderson-Paradise,Clark County,221
32244,71895,32244,Jacksonville,FL,Jacksonville,Duval County,222
32822,72247,32822,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,223
92109,96651,92109,San Diego,CA,San Diego-Carlsbad,San Diego County,224
43026,76471,43026,Hilliard,OH,Columbus,Franklin County,225
80634,93490,80634,Greeley,CO,Greeley,Weld County,226
07093,60599,07093,West New York,NJ,New York-Newark-Jersey City,Hudson County,227
