,School,Conference,SPORT,FSR,GSR
105,University of Michigan,Big Ten Conference,MFB,69.0,87.0
106,Michigan State University,Big Ten Conference,MFB,67.0,82.0
107,Western Michigan University,Mid-American Conference,MFB,54.0,75.0
108,"University of Minnesota, Twin Cities",Big Ten Conference,MFB,71.0,89.0
109,Alcorn State University,Southwestern Athletic Conf.,MFB,44.0,67.0
110,Jackson State University,Southwestern Athletic Conf.,MFB,44.0,70.0
111,University of Mississippi,Southeastern Conference,MFB,52.0,68.0
112,Mississippi Valley State University,Southwestern Athletic Conf.,MFB,43.0,88.0
113,Mississippi State University,Southeastern Conference,MFB,68.0,83.0
114,The University of Southern Mississippi,Conference USA,MFB,61.0,75.0
115,"University of Missouri, Columbia",Southeastern Conference,MFB,77.0,89.0
116,Southeast Missouri State University,Ohio Valley Conference,MFB,61.0,66.0
117,Missouri State University,Missouri Valley Football Conference,MFB,53.0,62.0
118,Montana State University-Bozeman,Big Sky Conference,MFB,60.0,72.0
119,University of Montana,Big Sky Conference,MFB,50.0,63.0
121,"University of Nebraska, Lincoln",Big Ten Conference,MFB,72.0,82.0
122,"University of Nevada, Las Vegas",Mountain West Conference,MFB,56.0,63.0
123,"University of Nevada, Reno",Mountain West Conference,MFB,43.0,69.0
125,University of New Hampshire,Colonial Athletic Association,MFB,78.0,94.0
126,Monmouth University,Big South Conference,MFB,70.0,86.0
127,Princeton University,The Ivy League,MFB,100.0,97.0
128,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,MFB,55.0,78.0
129,University of New Mexico,Mountain West Conference,MFB,41.0,59.0
130,New Mexico State University,Sun Belt Conference,MFB,63.0,73.0
131,Colgate University,Patriot League,MFB,79.0,89.0
134,Fordham University,Patriot League,MFB,82.0,88.0
136,Marist College,Pioneer Football League,MFB,100.0,84.0
137,University at Albany,Colonial Athletic Association,MFB,67.0,90.0
138,"University at Buffalo, the State University of New York",Mid-American Conference,MFB,56.0,70.0
139,Stony Brook University,Colonial Athletic Association,MFB,67.0,82.0
140,Syracuse University,Atlantic Coast Conference,MFB,70.0,85.0
142,Wagner College,Northeast Conference,MFB,60.0,73.0
143,Appalachian State University,Sun Belt Conference,MFB,67.0,71.0
144,Campbell University,Pioneer Football League,MFB,70.0,82.0
146,Duke University,Atlantic Coast Conference,MFB,89.0,96.0
147,East Carolina University,American Athletic Conference,MFB,67.0,72.0
148,Elon University,Colonial Athletic Association,MFB,77.0,96.0
149,Gardner-Webb University,Big South Conference,MFB,52.0,66.0
150,North Carolina A&T State University,Mid-Eastern Athletic Conf.,MFB,46.0,51.0
151,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,MFB,48.0,62.0
153,North Carolina Central University,Mid-Eastern Athletic Conf.,MFB,48.0,66.0
154,North Carolina State University,Atlantic Coast Conference,MFB,61.0,74.0
155,Wake Forest University,Atlantic Coast Conference,MFB,74.0,89.0
156,Western Carolina University,Southern Conference,MFB,50.0,79.0
157,University of North Dakota,Big Sky Conference,MFB,64.0,74.0
158,North Dakota State University,Missouri Valley Football Conference,MFB,58.0,70.0
159,University of Akron,Mid-American Conference,MFB,61.0,72.0
160,Bowling Green State University,Mid-American Conference,MFB,68.0,82.0
161,University of Cincinnati,American Athletic Conference,MFB,65.0,82.0
162,University of Dayton,Pioneer Football League,MFB,100.0,93.0
163,Kent State University,Mid-American Conference,MFB,62.0,76.0
164,Miami University (Ohio),Mid-American Conference,MFB,74.0,87.0
165,The Ohio State University,Big Ten Conference,MFB,44.0,64.0
166,Ohio University,Mid-American Conference,MFB,68.0,80.0
167,University of Toledo,Mid-American Conference,MFB,69.0,79.0
168,Youngstown State University,Missouri Valley Football Conference,MFB,49.0,66.0
169,Oklahoma State University,Big 12 Conference,MFB,36.0,46.0
170,University of Oklahoma,Big 12 Conference,MFB,59.0,76.0
171,The University of Tulsa,American Athletic Conference,MFB,75.0,77.0
172,Oregon State University,Pac-12 Conference,MFB,47.0,64.0
173,University of Oregon,Pac-12 Conference,MFB,63.0,71.0
174,Portland State University,Big Sky Conference,MFB,52.0,63.0
175,Bucknell University,Patriot League,MFB,83.0,91.0
176,Duquesne University,Northeast Conference,MFB,64.0,78.0
177,Lafayette College,Patriot League,MFB,75.0,97.0
178,Lehigh University,Patriot League,MFB,78.0,83.0
179,Pennsylvania State University,Big Ten Conference,MFB,66.0,82.0
180,University of Pennsylvania,The Ivy League,MFB,90.0,94.0
181,University of Pittsburgh,Atlantic Coast Conference,MFB,49.0,75.0
182,Robert Morris University,Northeast Conference,MFB,45.0,70.0
183,Saint Francis University (Pennsylvania),Northeast Conference,MFB,65.0,86.0
184,Temple University,American Athletic Conference,MFB,65.0,81.0
