,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout
65,Minnesota,Big Ten,P.J. Fleck,3550000.0,3550000.0,900000.0,0.0,0,9291667.0
66,Mississippi,SEC,Matt Luke,3000000.0,3000000.0,1550000.0,0.0,0,0.0
67,Mississippi State,SEC,Joe Moorhead,2600000.0,2600000.0,1350000.0,0.0,0,0.0
68,Missouri,SEC,Barry Odom,2350000.0,2350000.0,1025000.0,375000.0,0,1912500.0
69,Navy,AAC,Ken Niumatalolo,2163000.0,2163000.0,0.0,0.0,0,0.0
70,Nebraska,Big Ten,Scott Frost,5000000.0,5000000.0,950000.0,0.0,0,25416667.0
71,Nevada,Mt. West,Jay Norvell,500000.0,500000.0,210000.0,0.0,0,900000.0
72,Nevada-Las Vegas,Mt. West,Tony Sanchez,600000.0,600000.0,260000.0,0.0,0,950000.0
73,New Mexico,Mt. West,Bob Davie,822690.0,823740.0,340000.0,0.0,0,1303294.0
74,New Mexico State,Ind.,Doug Martin,419640.0,419640.0,220000.0,20000.0,0,1532790.0
75,North Carolina,ACC,Larry Fedora,2575000.0,2575000.0,900000.0,50000.0,0,12215625.0
76,North Carolina State,ACC,Dave Doeren,3000000.0,3000000.0,1350000.0,275000.0,0,6125000.0
77,North Texas,C-USA,Seth Littrell,1425000.0,1425000.0,580000.0,130000.0,0,4425000.0
78,Northern Illinois,MAC,Rod Carey,633460.0,633460.0,205000.0,42500.0,0,1822918.0
79,Northwestern,Big Ten,Pat Fitzgerald,3619775.0,3619775.0,0.0,0.0,0,0.0
80,Notre Dame,Ind.,Brian Kelly,2129638.0,2129638.0,0.0,0.0,0,0.0
81,Ohio,MAC,Frank Solich,580331.0,580331.0,333833.0,60772.0,0,558275.0
82,Ohio State,Big Ten,Urban Meyer,7600000.0,7600000.0,775000.0,350000.0,0,38058402.0
83,Oklahoma,Big 12,Lincoln Riley,4800000.0,4800000.0,700000.0,180000.0,0,20833333.0
84,Oklahoma State,Big 12,Mike Gundy,5000000.0,5000000.0,900000.0,62500.0,0,16250000.0
85,Old Dominion,C-USA,Bobby Wilder,654667.0,654667.0,504895.0,0.0,0,1200000.0
