,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,stadium_team,StadiumCapacity,grad_conf,FSR,GSR,Pct
41,Houston,AAC,Major Applewhite,1750000.0,1750000.0,782500.0,20000.0,0,2112500.0,Houston,40000,American Athletic Conference,60.0,65.0,0.6153846153846154
42,Illinois,Big Ten,Lovie Smith,5000000.0,5000000.0,1000000.0,50000.0,0,12636991.0,Illinois,60670,Big Ten Conference,65.0,81.0,0.3333333333333333
43,Indiana,Big Ten,Tom Allen,1830000.0,1830000.0,1441668.0,0.0,0,2000000.0,Indiana,52959,Big Ten Conference,68.0,83.0,0.4166666666666667
44,Iowa,Big Ten,Kirk Ferentz,4700000.0,4700000.0,2875000.0,600000.0,0,22396250.0,Iowa,70585,Big Ten Conference,64.0,80.0,0.6923076923076923
45,Iowa State,Big 12,Matt Campbell,3500000.0,3500000.0,750000.0,650000.0,0,19291667.0,Iowa State,61500,Big 12 Conference,62.0,82.0,0.6153846153846154
46,Kansas,Big 12,David Beaty,1701109.0,1701109.0,2000000.0,0.0,0,3000000.0,Kansas,50071,Big 12 Conference,62.0,78.0,0.25
47,Kansas State,Big 12,Bill Snyder,3500000.0,3500000.0,580000.0,50000.0,0,3000000.0,Kansas State,50000,Big 12 Conference,64.0,82.0,0.4166666666666667
48,Kent State,MAC,Sean Lewis,440000.0,440000.0,406000.0,0.0,0,1150000.0,Kent State,25000,Mid-American Conference,62.0,76.0,0.16666666666666666
49,Kentucky,SEC,Mark Stoops,4000000.0,4013600.0,3100000.0,300000.0,0,15625000.0,Kentucky,61000,Southeastern Conference,54.0,74.0,0.7692307692307693
50,Liberty,Ind.,Turner Gill,947281.0,947281.0,0.0,0.0,0,0.0,Liberty,25000,Independent,47.0,58.0,0.5
51,Louisiana Tech,C-USA,Skip Holtz,700000.0,700000.0,395000.0,0.0,0,2508333.0,Louisiana Tech,28109,Conference USA,53.0,65.0,0.6153846153846154
52,Louisiana-Lafayette,Sun Belt,Billy Napier,850000.0,850000.0,435000.0,0.0,0,2671875.0,Louisiana,41426,Sun Belt Conference,61.0,74.0,0.5
53,Louisiana-Monroe,Sun Belt,Matt Viator,390000.0,390000.0,50000.0,0.0,0,175000.0,Louisiana-Monroe,30427,Sun Belt Conference,63.0,72.0,0.5
54,Louisville,ACC,Bobby Petrino,3980434.0,3980434.0,1472917.0,869917.0,0,14056250.0,Louisville,61000,Atlantic Coast Conference,77.0,86.0,0.16666666666666666
55,LSU,SEC,Ed Orgeron,3500000.0,3500000.0,1575000.0,100000.0,0,5291667.0,LSU,102321,Southeastern Conference,41.0,73.0,0.7692307692307693
56,Marshall,C-USA,Doc Holliday,762570.0,762570.0,145000.0,55000.0,0,1951708.0,Marshall,38019,Conference USA,57.0,78.0,0.6923076923076923
57,Maryland,Big Ten,DJ Durkin,2512000.0,2512000.0,625000.0,0.0,0,5096178.0,Maryland,51802,Big Ten Conference,66.0,84.0,0.4166666666666667
58,Massachusetts,Ind.,Mark Whipple,500000.0,500000.0,305000.0,20000.0,0,300000.0,UMass,17000,Independent,49.0,66.0,0.3333333333333333
